value_a_code,value_b_code,domain_b_code,case
ABW,Aruba,AC2,domain_a
ABW,ABW,CID,domain_a
ABW,305,CRS,domain_a
ABW,Aruba,UNHCR,domain_a
AFG,Afghanistan,AC2,domain_a
AFG,AFG,CID,domain_a
AFG,1,CRS,domain_a
AFG,Afghanistan,UNHCR,domain_a
AFI,Djibouti,AC2,domain_a
AFI,AFI,CID,domain_a
AGO,Angola,AC2,domain_a
AGO,AGO,CID,domain_a
AGO,6,CRS,domain_a
AGO,Angola,UNHCR,domain_a
AIA,Anguilla,AC2,domain_a
AIA,AIA,CID,domain_a
AIA,ANG,CID,domain_a
AIA,7,CRS,domain_a
AIA,Anguilla,UNHCR,domain_a
ALA,Aland Islands,AC2,domain_a
ALA,ALA,CID,domain_a
ALB,Albania,AC2,domain_a
ALB,ALB,CID,domain_a
ALB,2,CRS,domain_a
ALB,Albania,UNHCR,domain_a
AND,Andorra,AC2,domain_a
AND,AND,CID,domain_a
AND,5,CRS,domain_a
AND,Andorra,UNHCR,domain_a
ANT,Netherlands Antilles,AC2,domain_a
ANT,ANT,CID,domain_a
ANT,Netherlands Antilles,UNHCR,domain_a
ARE,United Arab Emirates,AC2,domain_a
ARE,ARE,CID,domain_a
ARE,179,CRS,domain_a
ARE,United Arab Emirates,UNHCR,domain_a
ARG,Argentina,AC2,domain_a
ARG,ARG,CID,domain_a
ARG,9,CRS,domain_a
ARG,Argentina,UNHCR,domain_a
ARM,Armenia,AC2,domain_a
ARM,ARM,CID,domain_a
ARM,10,CRS,domain_a
ARM,Armenia,UNHCR,domain_a
ASM,American Samoa,AC2,domain_a
ASM,ASM,CID,domain_a
ASM,304,CRS,domain_a
ASM,American Samoa,UNHCR,domain_a
ATA,Antarctica,AC2,domain_a
ATA,ATA,CID,domain_a
ATA,Antarctica,UNHCR,domain_a
ATB,Antarctica,AC2,domain_a
ATB,ATB,CID,domain_a
ATF,French Southern Territories,AC2,domain_a
ATF,ATF,CID,domain_a
ATF,French Southern Territories,UNHCR,domain_a
ATG,Antigua and Barbuda,AC2,domain_a
ATG,ATG,CID,domain_a
ATG,XBB,CID,domain_a
ATG,8,CRS,domain_a
ATG,Antigua and Barbuda,UNHCR,domain_a
ATN,Antarctica,AC2,domain_a
ATN,ATN,CID,domain_a
AUS,Australia,AC2,domain_a
AUS,AUS,CID,domain_a
AUS,11,CRS,domain_a
AUS,Australia,UNHCR,domain_a
AUT,Austria,AC2,domain_a
AUT,AUT,CID,domain_a
AUT,212,CRS,domain_a
AUT,Austria,UNHCR,domain_a
AZE,Azerbaijan,AC2,domain_a
AZE,AZE,CID,domain_a
AZE,12,CRS,domain_a
AZE,Azerbaijan,UNHCR,domain_a
BDI,Burundi,AC2,domain_a
BDI,BDI,CID,domain_a
BDI,30,CRS,domain_a
BDI,Burundi,UNHCR,domain_a
BEL,Belgium,AC2,domain_a
BEL,BEL,CID,domain_a
BEL,17,CRS,domain_a
BEL,Belgium,UNHCR,domain_a
BEN,Benin,AC2,domain_a
BEN,BEN,CID,domain_a
BEN,19,CRS,domain_a
BEN,Benin,UNHCR,domain_a
BES,Netherlands Antilles,AC2,domain_a
